,Age,Salary,Children,AmountSpent,Gender_Female,Gender_Male,OwnHome_Own,OwnHome_Rent,Married_Married,Married_Single,Location_Close,Location_Far,History_High,History_Low,History_Medium,Catalogs_6,Catalogs_12,Catalogs_18,Catalogs_24
20,Young,14300,2,194,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
21,Young,49800,0,827,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
22,Old,60200,0,2328,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
23,Young,43500,1,808,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
24,Young,41700,1,521,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
25,Middle,92300,3,655,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
26,Middle,62800,3,707,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
27,Middle,72900,0,2075,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
28,Middle,66900,2,769,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
29,Young,21700,1,774,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
30,Old,39700,0,573,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
31,Middle,72200,1,2082,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
32,Middle,0,3,962,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1
33,Middle,104100,0,2636,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
34,Middle,67700,0,2226,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
35,Middle,27000,2,183,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
36,Middle,64100,2,1595,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
37,Middle,47000,1,584,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
38,Old,41600,0,982,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
39,Old,20100,0,576,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
40,Middle,64000,3,410,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
41,Middle,96800,3,3082,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
42,Middle,76200,1,2437,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1
43,Old,81500,0,3655,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
44,Middle,49600,1,844,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
45,Old,111500,0,2510,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
46,Middle,77700,0,983,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
47,Young,58900,0,1215,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
48,Middle,126500,2,2000,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
49,Middle,83300,1,2574,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
50,Middle,90500,1,1116,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
51,Middle,87200,0,3604,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
52,Middle,105300,1,3360,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
53,Middle,56000,3,962,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
54,Middle,46600,0,906,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
55,Old,69800,0,2764,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1
56,Middle,60300,0,1263,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
57,Young,67800,0,1084,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
58,Middle,42300,0,1051,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
59,Young,33700,0,614,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
60,Middle,62700,2,704,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0
61,Young,25900,2,962,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
62,Young,15600,1,136,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
63,Old,14600,0,468,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
64,Old,62600,0,565,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
65,Young,66700,0,1310,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
66,Middle,72500,0,2595,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
67,Young,13200,0,358,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
68,Middle,51300,0,1424,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
69,Middle,72300,0,4182,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
70,Young,15600,0,468,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0
71,Middle,90400,1,2924,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
72,Middle,71500,0,964,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0
73,Young,14400,0,615,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1
74,Young,15000,3,38,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
75,Middle,57600,1,1006,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
76,Young,0,3,307,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0
77,Middle,84300,2,1648,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
78,Young,24400,1,220,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
79,Young,22100,2,280,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
80,Middle,48800,2,1647,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
81,Middle,74700,1,704,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
82,Young,32400,1,920,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
83,Old,11400,0,258,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
84,Middle,127000,0,1821,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
85,Middle,47200,0,1587,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
86,Middle,48700,2,528,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
87,Young,20400,0,867,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
88,Middle,39000,0,643,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
89,Young,12900,1,107,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
90,Middle,67300,1,1513,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
91,Old,134500,0,4558,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
92,Old,75500,0,741,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
93,Old,33600,2,805,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
94,Young,16300,1,470,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0
95,Young,27400,1,278,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
96,Middle,110400,3,1093,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
97,Young,21100,1,470,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
98,Middle,81200,0,1856,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
99,Middle,87100,2,962,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
100,Young,21700,3,708,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1
101,Middle,42200,0,1753,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
102,Middle,59000,0,3044,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
103,Middle,52700,2,855,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0
104,Young,20900,0,550,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
105,Middle,90700,3,2265,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
106,Old,91800,0,2452,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
107,Young,27900,0,1184,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
108,Old,70700,0,2150,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
109,Middle,79600,2,1575,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
110,Middle,96400,1,1822,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1
111,Middle,46600,2,1153,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
112,Old,106600,0,1877,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
113,Middle,104900,3,450,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
114,Old,56300,0,873,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
115,Young,14800,1,209,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
116,Old,58300,0,1472,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1
117,Middle,70200,0,1702,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
118,Old,59700,0,1857,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
119,Young,25800,0,451,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
120,Young,12000,0,344,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
121,Middle,51900,0,1492,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
122,Middle,66800,3,2098,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
123,Middle,105300,1,3505,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
124,Young,13800,3,127,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
125,Young,14800,3,436,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0
126,Middle,44200,0,2524,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
127,Young,10400,0,189,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
128,Middle,35200,0,607,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
129,Young,16100,0,202,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
130,Middle,113000,2,1554,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
131,Middle,63300,2,633,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
132,Young,19100,0,176,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
133,Middle,93400,2,3079,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
134,Old,52500,0,2038,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
135,Middle,45400,3,1203,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
136,Young,21400,3,326,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
137,Middle,53700,3,235,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
138,Young,68000,0,3688,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
139,Young,17400,0,332,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
140,Young,14600,1,143,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
141,Old,100100,0,3104,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
142,Middle,103700,1,2339,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
143,Young,10800,3,123,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
144,Middle,81700,3,879,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
145,Old,21400,0,498,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
146,Old,114800,0,3596,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
147,Old,67900,0,2925,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
148,Middle,53700,1,1081,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
149,Young,11400,3,312,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
150,Young,34300,3,1297,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
151,Young,16400,1,218,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
152,Middle,109800,0,4279,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
153,Middle,64200,0,1642,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
154,Young,17000,0,581,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
155,Middle,41400,3,223,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
156,Middle,49100,2,474,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
157,Old,42600,0,1790,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
158,Young,11900,1,143,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
159,Middle,113600,2,3237,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
160,Middle,52900,1,2316,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1
161,Young,14300,1,458,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
162,Young,21000,0,646,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
163,Middle,59600,2,1217,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0
164,Middle,39700,3,962,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
165,Old,51200,0,1293,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
166,Middle,88200,0,2749,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
167,Middle,122100,0,2408,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
168,Old,84800,0,2624,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
169,Middle,140000,0,4894,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
170,Old,28500,0,621,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
171,Middle,60300,0,701,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
172,Young,51900,0,780,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
173,Middle,60200,0,1365,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
174,Middle,81200,0,2693,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
175,Old,73100,0,1582,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
176,Old,45700,0,724,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
177,Old,28900,0,830,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
178,Young,60100,0,1594,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
179,Middle,84800,1,1826,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
180,Old,35000,0,473,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
181,Young,61700,0,1161,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
182,Old,46900,0,703,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
183,Middle,123600,1,1892,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
184,Young,45800,0,489,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
185,Middle,77800,1,1813,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
186,Middle,48700,1,1457,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
187,Middle,0,3,292,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
188,Young,40000,0,613,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
189,Middle,118300,1,2681,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
190,Young,27100,2,437,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
191,Middle,91000,2,708,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
192,Middle,35300,0,1093,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
193,Young,10200,2,213,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
194,Young,12500,1,202,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
195,Old,64600,0,1298,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
196,Middle,113800,0,3273,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
197,Middle,113400,3,1790,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
198,Young,16900,1,247,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
199,Young,13600,1,183,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
200,Middle,100100,1,3491,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
201,Old,80000,0,1985,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
202,Middle,83900,0,1721,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
203,Middle,77000,0,2104,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
204,Middle,72900,3,252,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0
205,Young,80700,3,202,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
206,Young,40900,1,962,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
207,Young,26700,1,459,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0
208,Middle,54700,0,848,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
209,Old,23600,1,161,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
210,Middle,56900,0,1857,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
211,Middle,68700,1,1699,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
212,Young,19300,1,308,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
213,Young,20200,1,500,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
214,Middle,61500,3,1162,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
215,Middle,101700,1,2551,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
216,Middle,120800,1,5830,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
217,Young,17300,1,381,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
218,Young,42300,0,856,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0
219,Middle,53300,0,1720,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
220,Middle,42800,0,759,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
221,Middle,98400,0,3305,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
222,Middle,51200,0,1257,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
223,Old,62200,0,1583,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
224,Middle,109200,3,1102,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
225,Young,11400,2,962,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0
226,Young,14000,0,229,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
227,Old,97000,0,2599,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
228,Young,29600,3,774,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
229,Old,71200,1,638,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
230,Old,15000,0,378,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
231,Middle,64000,1,1552,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
232,Old,33000,0,979,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
233,Old,74400,0,2479,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
234,Young,20300,2,450,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
235,Middle,68700,0,2763,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
236,Young,53600,3,1560,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
237,Old,33200,0,1037,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
238,Young,70900,0,690,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
239,Young,23200,3,770,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
240,Young,41400,0,643,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
241,Young,63200,0,1512,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1
242,Old,107400,0,1485,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
243,Young,13900,0,570,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
244,Middle,79900,1,1165,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
245,Middle,120000,3,1926,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
246,Old,66300,0,2243,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0
247,Middle,54400,3,342,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
248,Middle,84200,0,1654,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
249,Young,13800,0,363,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
250,Young,14500,1,222,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
251,Young,21300,0,677,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
252,Old,29000,0,482,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
253,Old,14600,1,385,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
254,Old,65300,0,1443,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
255,Middle,100800,1,1789,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
256,Young,19800,1,991,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
257,Middle,56700,2,536,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
258,Old,90200,0,2183,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
259,Young,26100,1,494,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
260,Young,15900,0,503,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
261,Young,12700,3,87,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
262,Middle,43200,0,917,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
263,Middle,114100,1,1976,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
264,Middle,96100,3,316,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
265,Middle,97200,0,1634,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
266,Middle,82400,2,2035,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
267,Old,62000,0,3293,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
268,Young,13400,1,143,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
269,Middle,108200,3,635,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
270,Young,76200,0,979,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
271,Middle,81800,1,1838,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
272,Young,12000,0,264,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
273,Middle,76100,0,719,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
274,Middle,82100,1,1308,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
275,Old,103300,0,3378,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
276,Young,14200,1,400,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1
277,Middle,47500,0,847,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
278,Young,31300,1,357,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
279,Young,32700,1,1276,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
280,Middle,72200,0,2492,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
281,Middle,107600,2,1512,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
282,Middle,109900,2,870,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
283,Middle,65400,2,938,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
284,Old,43300,0,1584,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
285,Old,51900,0,1148,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
286,Middle,80600,0,2840,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
287,Middle,42700,0,827,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
288,Young,19000,0,428,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
289,Young,14500,1,183,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0
290,Middle,68200,1,818,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
291,Young,36700,0,731,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
292,Old,54600,0,2163,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
293,Middle,65900,1,1081,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
294,Young,39600,0,1085,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0
295,Young,67300,3,1212,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0
296,Middle,59700,1,1422,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
297,Middle,102800,2,2238,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
298,Middle,34700,0,1615,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
299,Middle,50600,3,713,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
300,Middle,106700,2,607,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
301,Middle,53900,1,735,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
302,Young,25500,2,139,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
303,Young,46300,1,1357,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
304,Old,55500,0,858,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
305,Young,27800,3,408,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
306,Middle,118600,1,1553,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
307,Middle,130700,3,2070,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
308,Old,42800,0,922,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
309,Middle,118300,1,2502,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
310,Young,25600,2,426,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
311,Middle,63500,2,2321,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
312,Old,30900,0,862,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
313,Middle,55900,1,2555,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
314,Middle,53900,0,1186,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
315,Old,84300,0,2842,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
316,Old,53400,1,886,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
317,Middle,96900,1,1420,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
318,Middle,55800,1,821,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
319,Young,25900,1,242,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
